DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
1 de out de 97;1997-10-01;13;50,017;7,124;4,894;30,79;137,082
2 de out de 97;1997-10-02;10;38,517;10,64;3,685;41,345;91,3
3 de out de 97;1997-10-03;5;31,633;13,268;1,9786;28,712;69,593
4 de out de 97;1997-10-04;10;53,426;11,784;2,6257;88,865;111,988
5 de out de 97;1997-10-05;15;60,812;11,792;3,0029;65,042;99,533
6 de out de 97;1997-10-06;11;47,041;7,2475;3,44;34,524;88,19
7 de out de 97;1997-10-07;9;33,326;9,678;2,0686;25,925;64,242
8 de out de 97;1997-10-08;12;36,52;12,796;2,6257;21,357;69,013
9 de out de 97;1997-10-09;7;64,078;15,69;3,8643;98,165;138,105
10 de out de 97;1997-10-10;10;91,945;23,266;5,4971;114,323;199,203
11 de out de 97;1997-10-11;16;63,475;10,368;4,7829;64,922;113,353
12 de out de 97;1997-10-12;9;73,376;10,462;2,7786;138,977;94,92
13 de out de 97;1997-10-13;11;74,875;12,11;3,2214;146,143;202,022
14 de out de 97;1997-10-14;10;60,325;9,854;2,4114;93,43;111,342
15 de out de 97;1997-10-15;17;74,832;14,832;3,7914;70,105;152,23
16 de out de 97;1997-10-16;9;51,412;9,7;3,5243;18,598;93,893
17 de out de 97;1997-10-17;13;39,619;8,514;2,0986;28,482;59,603
18 de out de 97;1997-10-18;5;33,381;9,518;1,6657;31,996;51,217
19 de out de 97;1997-10-19;13;39,523;7,25;1,4371;71,61;57,307
20 de out de 97;1997-10-20;2;35,556;5,9125;2,8871;26,16;66,313
21 de out de 97;1997-10-21;9;48,199;12,08;5,2043;13,805;95,498
22 de out de 97;1997-10-22;8;40,562;6,9625;5,2657;21,765;64,8
23 de out de 97;1997-10-23;9;34,541;5,495;2,0857;39,247;69,928
24 de out de 97;1997-10-24;12;53,411;13,355;3,8814;56,415;122,685
25 de out de 97;1997-10-25;12;73,364;16,574;3,9043;73,345;125,353
26 de out de 97;1997-10-26;5;43,218;5,8725;2,5129;53,282;75,077
27 de out de 97;1997-10-27;14;53,001;8,465;2,2086;66,826;101,19
28 de out de 97;1997-10-28;7;69,322;15,222;4,6686;77,314;175,943
29 de out de 97;1997-10-29;13;81,587;19,6;5,0629;72,323;163,917
30 de out de 97;1997-10-30;15;51,601;6,7867;2,5729;57,043;105,775
31 de out de 97;1997-10-31;11;61,688;7,6425;3,1586;85,555;136,287
1 de nov de 97;1997-11-01;11;63,134;7,31;3,5986;64,093;99,568
2 de nov de 97;1997-11-02;3;42,499;5,754;3,2343;62,247;89,945
3 de nov de 97;1997-11-03;9;51,655;8,82;3,8443;90,183;134,368
4 de nov de 97;1997-11-04;12;37,531;10,9;2,07;26,543;65,298
5 de nov de 97;1997-11-05;10;47,737;10,016;2,2971;37,788;68,137
6 de nov de 97;1997-11-06;9;67,961;12,302;3,8643;58,167;156,458
7 de nov de 97;1997-11-07;15;63,308;9,424;3,8257;69,453;143,658
8 de nov de 97;1997-11-08;10;43,653;6,542;2,815;96,83;77,992
9 de nov de 97;1997-11-09;13;50,565;10,506;2,155;104,495;78,028
10 de nov de 97;1997-11-10;12;99,133;20,82;3,435;130,215;167,342
11 de nov de 97;1997-11-11;8;98,228;20,328;5,2917;108,818;224,103
12 de nov de 97;1997-11-12;12;72,944;12,114;5,3357;81,462;146,037
